problem,run,iterations,runtime_s,solver_objective
Q1,single,367,0.0047997500000001025,35126.95234335018
Q2,2025-02-01,382,0.002545666999999696,35279.47675777305
Q3,2025-02-01@00,384,0.0020312080000000066,33751.06712962965
Q3,2025-02-01@06,260,0.002496374999999773,0.002591146187251749
Q3,2025-02-01@12,190,0.0014541249999999728,0.0018442239070567384
Q3,2025-02-01@18,85,0.0006282909999999475,0.0010382019673703705
Q4-2,2025-02-01,377,0.002049374999999909,33882.005990557554
Q4-3,2025-02-01@00,379,0.001962084000000086,32188.111786533085
Q4-3,2025-02-01@06,264,0.002135417000000306,0.0027034297187141796
Q4-3,2025-02-01@12,190,0.0014110830000002572,0.0019517431164956097
Q4-3,2025-02-01@18,77,0.0006444590000000971,0.001133853236253549
Q2,2025-02-02,353,0.001955582999999983,58946.762301895666
Q3,2025-02-02@00,362,0.0020235839999998007,56179.395318928444
Q3,2025-02-02@06,282,0.002236209000000322,0.003507586541330999
Q3,2025-02-02@12,189,0.0013325829999999428,0.00230423629375571
Q3,2025-02-02@18,91,0.000609292000000039,103.63884025635437
Q4-2,2025-02-02,352,0.0019531670000003665,68461.3929092244
Q4-3,2025-02-02@00,359,0.001939582999999967,65002.99976814201
Q4-3,2025-02-02@06,275,0.002181457999999914,0.0034615570201013014
Q4-3,2025-02-02@12,191,0.0012937090000000318,0.0022855415993261836
Q4-3,2025-02-02@18,92,0.0006159159999996611,111.56332230659963
Q2,2025-02-03,353,0.002013625000000019,57396.72723227957
Q3,2025-02-03@00,354,0.002155458999999915,57440.435959825954
Q3,2025-02-03@06,276,0.0021395840000000277,0.0034820600137486263
Q3,2025-02-03@12,181,0.0012320829999996619,0.0023628924030246897
Q3,2025-02-03@18,91,0.0005965000000003329,24.20592540275072
Q4-2,2025-02-03,350,0.001849375000000375,65747.91394326303
Q4-3,2025-02-03@00,352,0.001856875000000091,65931.65769789794
Q4-3,2025-02-03@06,276,0.0021151249999999955,0.0034640198063837424
Q4-3,2025-02-03@12,183,0.0012361669999996217,0.002357135669809412
Q4-3,2025-02-03@18,93,0.0005877920000001424,26.01671571258105
Q2,2025-02-04,358,0.0022857499999999753,57279.87553208492
Q3,2025-02-04@00,350,0.0019498330000002895,59182.53410230061
Q3,2025-02-04@06,272,0.002199250000000319,0.003754887935160201
Q3,2025-02-04@12,184,0.0012619999999996523,0.002531721548018311
Q3,2025-02-04@18,91,0.0005869999999998932,85.14586443008501
Q4-2,2025-02-04,357,0.001926666999999771,65325.33762274105
Q4-3,2025-02-04@00,348,0.0018953750000001435,67754.44166665128
Q4-3,2025-02-04@06,285,0.002172541999999833,0.00361152821632644
Q4-3,2025-02-04@12,185,0.0013614170000000314,0.0025317215480183115
Q4-3,2025-02-04@18,93,0.0006689999999998086,86.62619279843227
Q2,2025-02-05,355,0.0020170829999996975,57131.38392028357
Q3,2025-02-05@00,359,0.001882291000000258,55210.54352458893
Q3,2025-02-05@06,301,0.002212958999999959,383.2414404259616
Q3,2025-02-05@12,181,0.0012194160000000842,0.002249042880403754
Q3,2025-02-05@18,87,0.0005807080000002074,0.001376612473157407
Q4-2,2025-02-05,353,0.0018884169999999756,65208.55382327272
Q4-3,2025-02-05@00,359,0.0019177500000000514,62819.48457971177
Q4-3,2025-02-05@06,302,0.002302541000000158,630.5364567528773
Q4-3,2025-02-05@12,180,0.0013945420000003317,0.002221886248044358
Q4-3,2025-02-05@18,86,0.0006021249999998979,0.001376612473157407
Q2,2025-02-06,357,0.0019147089999997924,57185.393145721915
Q3,2025-02-06@00,362,0.001926291000000191,59029.038562451795
Q3,2025-02-06@06,275,0.002046167000000043,0.003668860963676164
Q3,2025-02-06@12,185,0.0012277090000001323,0.0024715325783278962
Q3,2025-02-06@18,90,0.0005789580000001848,155.2296935803166
Q4-2,2025-02-06,352,0.0019056250000000219,65293.86905953987
Q4-3,2025-02-06@00,359,0.0018877919999997772,67641.28123426196
Q4-3,2025-02-06@06,273,0.002304708000000044,0.00367268807907433
Q4-3,2025-02-06@12,181,0.0012335839999999543,0.002461724912969717
Q4-3,2025-02-06@18,92,0.000577625000000026,155.7278498239663
Q2,2025-02-07,375,0.0019316670000000258,33159.926662191116
Q3,2025-02-07@00,378,0.0019255000000000244,33034.461378386724
Q3,2025-02-07@06,263,0.002079415999999945,0.0026322008049594653
Q3,2025-02-07@12,194,0.0012186670000002842,0.001795910263299965
Q3,2025-02-07@18,81,0.0005854169999999215,0.0010733300295061728
Q4-2,2025-02-07,374,0.0019273750000001755,31266.887079409003
Q4-3,2025-02-07@00,373,0.002045957999999626,31110.017909119193
Q4-3,2025-02-07@06,268,0.0021957499999998298,0.0026779037596326477
Q4-3,2025-02-07@12,200,0.0012670410000001908,0.0017877076636332975
Q4-3,2025-02-07@18,83,0.0005710420000002436,0.001060483509537037
Q2,2025-02-08,369,0.0019443329999999648,32433.261836841655
Q3,2025-02-08@00,366,0.0018931669999999734,27983.606959526234
Q3,2025-02-08@06,261,0.0020715840000002927,0.0026693700855399344
Q3,2025-02-08@12,181,0.0012895830000001496,0.001740344122535356
Q3,2025-02-08@18,81,0.0005870829999996552,0.0010293706028436213
Q4-2,2025-02-08,367,0.0020514579999999505,30312.775903264108
Q4-3,2025-02-08@00,363,0.0020037920000000042,25629.207513568206
Q4-3,2025-02-08@06,261,0.0021156250000000654,0.0026693700855399344
Q4-3,2025-02-08@12,183,0.0012463750000000218,0.0017437116380426426
Q4-3,2025-02-08@18,81,0.0006060830000000905,0.0010177454090825617
Q2,2025-02-09,356,0.001904624999999882,55815.76939990991
Q3,2025-02-09@00,368,0.001906834000000135,55329.62280339961
Q3,2025-02-09@06,308,0.002282500000000187,544.1885666534806
Q3,2025-02-09@12,194,0.0013004170000003867,0.002190483686436136
Q3,2025-02-09@18,89,0.000585875000000069,0.0013818417119259257
Q4-2,2025-02-09,355,0.002181790999999933,63525.49466068063
Q4-3,2025-02-09@00,367,0.0019585829999999582,63063.86805321133
Q4-3,2025-02-09@06,299,0.0021801250000001993,671.9562137666936
Q4-3,2025-02-09@12,191,0.0013151250000000836,0.002190483686436136
Q4-3,2025-02-09@18,88,0.0005727499999998997,0.0013818417119259257
Q2,2025-02-10,360,0.0019296670000001903,54900.02393615996
Q3,2025-02-10@00,363,0.0019495830000000325,52149.01836027689
Q3,2025-02-10@06,278,0.002089290999999882,0.0030494055106196484
Q3,2025-02-10@12,189,0.0013874590000000353,2178.5223947990357
Q3,2025-02-10@18,87,0.0006694999999998785,0.001380339793771604
Q4-2,2025-02-10,352,0.0018929580000000001,62159.395344219694
Q4-3,2025-02-10@00,357,0.0019760410000002615,58782.16820785505
Q4-3,2025-02-10@06,272,0.002066040999999963,0.0030804986975447517
Q4-3,2025-02-10@12,187,0.0012434580000002526,2552.421437181198
Q4-3,2025-02-10@18,88,0.0005630000000000912,0.001380339793771604
Q2,2025-02-11,361,0.0019517090000000792,54770.145597398776
Q3,2025-02-11@00,361,0.002008542000000002,52936.64005305442
Q3,2025-02-11@06,286,0.002158416999999968,0.0033604381254923174
Q3,2025-02-11@12,186,0.0013396249999999554,0.002387972726814334
Q3,2025-02-11@18,91,0.0005973340000000604,114.42864050047548
Q4-2,2025-02-11,357,0.0018985410000000869,61670.52495695388
Q4-3,2025-02-11@00,361,0.0018947090000001054,59361.120821966724
Q4-3,2025-02-11@06,278,0.0020859999999998102,0.0032936757837299727
Q4-3,2025-02-11@12,186,0.0012104580000000809,0.002337872984265294
Q4-3,2025-02-11@18,92,0.0005758749999995594,114.72268152286662
Q2,2025-02-12,361,0.00194350000000032,54300.61625161855
Q3,2025-02-12@00,364,0.001966499999999982,52574.22587073999
Q3,2025-02-12@06,277,0.0023862079999998898,0.003195032228367935
Q3,2025-02-12@12,185,0.0013204999999998357,0.002280084139033316
Q3,2025-02-12@18,91,0.0005825000000001523,71.47845473771811
Q4-2,2025-02-12,355,0.00189704199999996,61063.903483442984
Q4-3,2025-02-12@00,361,0.0019224159999997603,58938.82620232786
Q4-3,2025-02-12@06,280,0.002105042000000168,0.003092151569931721
Q4-3,2025-02-12@12,182,0.0012181669999997702,0.0022665656585497775
Q4-3,2025-02-12@18,90,0.0005719580000000946,70.81139177199518
Q2,2025-02-13,366,0.0019381670000000462,53710.61118611115
Q3,2025-02-13@00,364,0.00204274999999976,48366.67346312936
Q3,2025-02-13@06,264,0.0022014160000001226,0.0032258040213665982
Q3,2025-02-13@12,189,0.0012981249999999278,975.4158296954307
Q3,2025-02-13@18,86,0.0005715000000003911,0.0013791704213055541
Q4-2,2025-02-13,356,0.001954916999999945,60211.25650976561
Q4-3,2025-02-13@00,362,0.0019124580000000613,53794.439756982785
Q4-3,2025-02-13@06,274,0.0021140419999996496,0.0031496653329482517
Q4-3,2025-02-13@12,196,0.0013422919999999117,1097.5007728948742
Q4-3,2025-02-13@18,87,0.0005653340000000284,0.0013791704213055543
Q2,2025-02-14,385,0.001985916999999837,29905.965065123786
Q3,2025-02-14@00,364,0.0020627079999999687,27686.95721832906
Q3,2025-02-14@06,247,0.0021376669999999542,0.0024884837513094306
Q3,2025-02-14@12,179,0.0012301250000001929,0.0017504178872512007
Q3,2025-02-14@18,81,0.0005696670000001625,0.0010796986389794237
Q4-2,2025-02-14,381,0.0019685410000001013,27408.792409105452
Q4-3,2025-02-14@00,368,0.0018887909999998342,25245.653214033086
Q4-3,2025-02-14@06,252,0.002081833999999727,0.0024884837513094297
Q4-3,2025-02-14@12,181,0.0012553749999999475,0.0016776833390157746
Q4-3,2025-02-14@18,82,0.0006220419999998228,0.0010908435159794232
Q2,2025-02-15,377,0.00205608299999982,29063.64385380641
Q3,2025-02-15@00,373,0.0019544579999997147,28144.112748117375
Q3,2025-02-15@06,246,0.002032208999999785,0.0025031472167650185
Q3,2025-02-15@12,188,0.0012651660000000398,0.0018246848674485596
Q3,2025-02-15@18,81,0.0005914579999997116,0.0010757664145226332
Q4-2,2025-02-15,375,0.0019643340000001785,26261.557990369347
Q4-3,2025-02-15@00,373,0.001891000000000087,25339.553402515743
Q4-3,2025-02-15@06,249,0.0021266250000002707,0.0025789657348925903
Q4-3,2025-02-15@12,187,0.0012985419999997916,0.001900503385576131
Q4-3,2025-02-15@18,85,0.0007230420000001736,0.001051324527364969
Q2,2025-02-16,365,0.0020078749999998813,51820.91307595149
Q3,2025-02-16@00,370,0.0019381670000000462,51920.95319793099
Q3,2025-02-16@06,278,0.0020607500000000556,0.0031397483446450256
Q3,2025-02-16@12,186,0.0011997089999997712,0.0022441162152786855
Q3,2025-02-16@18,91,0.0005682079999997924,148.31575014386024
Q4-2,2025-02-16,359,0.001925707999999915,57557.68387831288
Q4-3,2025-02-16@00,367,0.0019248339999999864,57741.7298581866
Q4-3,2025-02-16@06,285,0.0021315419999998753,0.003072248344645026
Q4-3,2025-02-16@12,187,0.0013282079999998864,0.0022428945190860077
Q4-3,2025-02-16@18,94,0.00059787499999997,145.79457284592567
Q2,2025-02-17,363,0.002009790999999872,50669.712513383645
Q3,2025-02-17@00,380,0.002085708000000075,51240.35610750864
Q3,2025-02-17@06,274,0.0021599580000000174,0.003054511871173696
Q3,2025-02-17@12,181,0.001297042000000026,0.0020706586898706423
Q3,2025-02-17@18,90,0.0005818330000000316,47.84404164800056
Q4-2,2025-02-17,357,0.001898333999999835,55998.0567086987
Q4-3,2025-02-17@00,374,0.001965833999999944,56843.902799481126
Q4-3,2025-02-17@06,278,0.002237625000000243,0.003015409451152365
Q4-3,2025-02-17@12,182,0.001297292000000283,0.0020875219878673844
Q4-3,2025-02-17@18,91,0.0005937499999997264,47.291135993568766
Q2,2025-02-18,364,0.0019274579999999375,50357.59426705654
Q3,2025-02-18@00,366,0.001875958999999927,45187.1855764581
Q3,2025-02-18@06,297,0.0021891669999996033,51.011212727183995
Q3,2025-02-18@12,194,0.001275915999999988,715.5246326092437
Q3,2025-02-18@18,90,0.000582125000000211,139.4591335772173
Q4-2,2025-02-18,360,0.001967709000000095,55413.40680899008
Q4-3,2025-02-18@00,364,0.001955499999999777,49198.84945023934
Q4-3,2025-02-18@06,294,0.0021715420000001373,64.67826144930089
Q4-3,2025-02-18@12,195,0.0013645829999999748,858.7532999573807
Q4-3,2025-02-18@18,89,0.0005814160000001678,136.0919179976945
Q2,2025-02-19,368,0.0019720420000002292,49718.07493533931
