slot,grid,charge,discharge,soc_end
1,1406.6410999999998,833.3333333333333,0.0,6750.0
2,1406.3298666666665,833.3333333333333,0.0,7500.0
3,1407.38385,833.3333333333333,0.0,8250.0
4,1409.07395,833.3333333333333,0.0,9000.0
5,1409.8045499999998,833.3333333333333,0.0,9750.0
6,576.6400166666666,0.0,0.0,9750.0
7,577.8597,0.0,0.0,9750.0
8,577.9938666666667,0.0,0.0,9750.0
9,911.1613833333333,333.3333333333333,0.0,10050.0
10,580.41545,0.0,0.0,10050.0
11,582.5140166666666,0.0,0.0,10050.0
12,583.0740499999999,0.0,0.0,10050.0
13,584.2049166666666,0.0,0.0,10050.0
14,585.4397833333333,0.0,0.0,10050.0
15,586.1447499999999,0.0,0.0,10050.0
16,586.3207666666666,0.0,0.0,10050.0
17,586.4253,0.0,0.0,10050.0
18,586.8496,0.0,0.0,10050.0
19,587.8210166666667,0.0,0.0,10050.0
20,589.5475666666666,0.0,0.0,10050.0
21,590.8134666666666,0.0,0.0,10050.0
22,590.2131166666666,0.0,0.0,10050.0
23,591.0662666666666,0.0,0.0,10050.0
24,593.3678333333332,0.0,0.0,10050.0
25,593.6596833333333,0.0,0.0,10050.0
26,592.7863833333333,0.0,0.0,10050.0
27,593.3378666666666,0.0,0.0,10050.0
28,596.6757666666666,0.0,0.0,10050.0
29,597.78025,0.0,0.0,10050.0
30,595.1624999999999,0.0,0.0,10050.0
31,590.6065,0.0,0.0,10050.0
32,589.4851833333333,0.0,0.0,10050.0
33,578.4554499999999,0.0,0.0,10050.0
34,1383.6597833333333,833.3333333333333,0.0,10800.0
35,591.1401999999999,0.0,-0.0,10800.0
36,0.0,0.0,668.2538833333333,10057.495685185186
37,0.0,0.0,655.4553333333333,9329.211981481481
38,0.0,0.0,616.5040333333334,8644.2075
39,0.0,0.0,591.4544833333334,7987.035851851852
40,0.0,0.0,557.4868666666666,7367.606000000001
41,0.0,0.0,529.2397,6779.561888888889
42,0.0,0.0,502.4707166666667,6221.261092592593
43,0.0,0.0,455.4435666666667,5715.212685185185
44,0.0,0.0,410.06669999999997,5259.583018518519
45,0.0,0.0,356.99678333333327,4862.919925925926
46,0.0,0.0,283.36356666666666,4548.071518518518
47,0.0,0.0,320.6841166666666,4191.755833333333
48,0.0,0.0,418.4214499999999,3726.8431111111104
49,0.0,0.0,381.9107833333333,3302.4977962962957
50,0.0,0.0,309.5563499999999,2958.5462962962956
51,0.0,0.0,264.61940000000004,2664.52474074074
52,0.0,0.0,213.74080000000004,2427.0349629629623
53,0.0,0.0,178.55891666666668,2228.6361666666658
54,0.0,0.0,155.3921166666667,2055.9782592592583
55,0.0,0.0,112.25950000000012,1931.2454814814803
56,0.0,0.0,64.39686666666663,1859.6934074074063
57,0.0,0.0,22.56224999999995,1834.6242407407397
58,0.0,17.424066666666626,0.0,1850.3059007407396
