problem,run,min_supply_slack,max_soc_residual,max_simultaneous_charge_discharge,min_soc,max_soc,solver_feasible,passed
Q1,single,-1.1368683772161603e-13,9.094947017729282e-13,0.0,1200.0,10800.0,True,True
Q2,2025-02-01,-1.1368683772161603e-13,9.094947017729282e-13,0.0,1200.0,10800.0,True,True
Q3,2025-02-01,0.0,0.0,0.0,2050.2488666666686,10800.0,True,True
Q4-2,2025-02-01,-1.1368683772161603e-13,9.094947017729282e-13,0.0,1200.0,10800.0,True,True
Q4-3,2025-02-01,0.0,0.0,0.0,1750.6626180324085,10800.0,True,True
Q2,2025-02-02,-1.1368683772161603e-13,2.2737367544323206e-13,0.0,1200.0,10800.0,True,True
Q3,2025-02-02,0.0,0.0,0.0,1199.999999999998,10800.0,True,True
Q4-2,2025-02-02,-1.1368683772161603e-13,9.094947017729282e-13,0.0,1200.0,10800.0,True,True
Q4-3,2025-02-02,0.0,0.0,0.0,1200.0000000000002,10800.0,True,True
Q2,2025-02-03,-1.1368683772161603e-13,1.8189894035458565e-12,0.0,1200.0,10800.0,True,True
Q3,2025-02-03,0.0,0.0,0.0,1200.000000000001,10800.0,True,True
Q4-2,2025-02-03,-1.1368683772161603e-13,2.2737367544323206e-13,0.0,1200.0,10800.0,True,True
Q4-3,2025-02-03,0.0,0.0,0.0,1200.0000000000005,10800.0,True,True
Q2,2025-02-04,-1.1368683772161603e-13,9.094947017729282e-13,0.0,1200.0,10800.0,True,True
Q3,2025-02-04,0.0,0.0,0.0,1200.0000000000027,10800.0,True,True
Q4-2,2025-02-04,-1.1368683772161603e-13,9.094947017729282e-13,0.0,1200.0,10800.0,True,True
Q4-3,2025-02-04,0.0,0.0,0.0,1200.0000000000027,10800.0,True,True
Q2,2025-02-05,-1.1368683772161603e-13,1.8189894035458565e-12,0.0,1200.0,10800.0,True,True
Q3,2025-02-05,0.0,0.0,0.0,1199.9999999999995,10800.0,True,True
Q4-2,2025-02-05,-1.1368683772161603e-13,1.8189894035458565e-12,0.0,1200.0,10800.0,True,True
Q4-3,2025-02-05,0.0,0.0,0.0,1199.9999999999995,10800.0,True,True
Q2,2025-02-06,-1.1368683772161603e-13,9.094947017729282e-13,0.0,1200.0,10800.0,True,True
Q3,2025-02-06,0.0,0.0,0.0,1200.0000000000005,10800.0,True,True
Q4-2,2025-02-06,-1.1368683772161603e-13,9.094947017729282e-13,0.0,1200.0,10800.0,True,True
Q4-3,2025-02-06,0.0,0.0,0.0,1200.0000000000005,10800.0,True,True
Q2,2025-02-07,-1.1368683772161603e-13,9.094947017729282e-13,0.0,1200.0,10800.0,True,True
Q3,2025-02-07,0.0,0.0,0.0,1897.1279444444453,10800.0,True,True
