date,combo,issue,iterations,runtime_s
2025-01-01,none,0,260,0.002948707995528821
2025-01-02,none,0,364,0.003144958995108027
2025-01-03,none,0,343,0.0031998750055208802
2025-01-04,none,0,348,0.002873042001738213
2025-01-05,none,0,377,0.002910374998464249
2025-01-06,none,0,354,0.0028573339950526133
2025-01-07,none,0,357,0.0028836659985245205
2025-01-08,none,0,344,0.0033304590033367276
2025-01-09,none,0,342,0.0029292500039446168
2025-01-10,none,0,385,0.002992583999002818
2025-01-11,none,0,369,0.0029567090023192577
2025-01-12,none,0,350,0.002987749998283107
2025-01-13,none,0,355,0.003296749993751291
2025-01-14,none,0,347,0.002910916999098845
2025-01-15,none,0,362,0.0028414170010364614
2025-01-16,none,0,357,0.0028881250036647543
2025-01-17,none,0,382,0.0032856250036275014
2025-01-18,none,0,385,0.0036273750010877848
2025-01-19,none,0,349,0.0030112500026007183
2025-01-20,none,0,354,0.0030362090037669986
2025-01-21,none,0,353,0.002933125004346948
2025-01-22,none,0,356,0.0028969169943593442
2025-01-23,none,0,351,0.003662915994937066
2025-01-24,none,0,377,0.0029755000068689696
2025-01-25,none,0,378,0.002915790995757561
2025-01-26,none,0,358,0.002984958002343774
2025-01-27,none,0,356,0.0031112910000956617
2025-01-28,none,0,365,0.0031787499974598177
2025-01-29,none,0,366,0.002964167004392948
2025-01-30,none,0,363,0.002961042002425529
2025-01-31,none,0,377,0.002900874998886138
2025-02-01,none,0,384,0.0032030410002334975
2025-02-02,none,0,358,0.0032259589934255928
2025-02-03,none,0,353,0.0029533330016420223
2025-02-04,none,0,351,0.0028930839980603196
2025-02-05,none,0,359,0.0029753339986200444
2025-02-06,none,0,362,0.003180332998454105
2025-02-07,none,0,378,0.003127374999166932
2025-02-08,none,0,366,0.002894666999054607
2025-02-09,none,0,368,0.0030453329964075238
2025-02-10,none,0,363,0.0033045000018319115
2025-02-11,none,0,361,0.0036565000045811757
2025-02-12,none,0,364,0.0032300829989253543
2025-02-13,none,0,364,0.003020083997398615
2025-02-14,none,0,364,0.002896917001635302
2025-02-15,none,0,373,0.003013249996001832
2025-02-16,none,0,370,0.0033849590035970323
2025-02-17,none,0,380,0.003196083998773247
2025-02-18,none,0,366,0.0028940839983988553
2025-02-19,none,0,361,0.003214417003619019
2025-02-20,none,0,370,0.0031527920000371523
2025-02-21,none,0,359,0.0030538330029230565
2025-02-22,none,0,363,0.002893707998737227
2025-02-23,none,0,360,0.0029079579981043935
2025-02-24,none,0,366,0.00288791699858848
2025-02-25,none,0,366,0.003037708993360866
2025-02-26,none,0,368,0.0032690000007278286
2025-02-27,none,0,372,0.0029140000042389147
2025-02-28,none,0,338,0.0027652089993353
2025-03-01,none,0,363,0.003103749993897509
2025-03-02,none,0,375,0.003346500001498498
2025-03-03,none,0,377,0.003204958004062064
2025-03-04,none,0,370,0.002949000001535751
2025-03-05,none,0,370,0.002991500005009584
2025-03-06,none,0,374,0.0031194590046652593
2025-03-07,none,0,367,0.003386999997019302
2025-03-08,none,0,340,0.002991374996781815
2025-03-09,none,0,374,0.003012458997545764
2025-03-10,none,0,366,0.0031082089990377426
2025-03-11,none,0,363,0.002930000002379529
2025-03-12,none,0,362,0.0032361250050598755
2025-03-13,none,0,377,0.00309137500153156
2025-03-14,none,0,338,0.002727791004872415
2025-03-15,none,0,352,0.0029940419990452938
2025-03-16,none,0,379,0.0031267499944078736
2025-03-17,none,0,357,0.003148665993649047
2025-03-18,none,0,367,0.0033219590040971525
2025-03-19,none,0,362,0.0029312080005183816
2025-03-20,none,0,375,0.002968625005451031
2025-03-21,none,0,347,0.002891582997108344
2025-03-22,none,0,344,0.0032655000031809323
2025-03-23,none,0,365,0.0032676660048309714
2025-03-24,none,0,368,0.002954417002911214
2025-03-25,none,0,367,0.0030477079999400303
2025-03-26,none,0,362,0.0030638749958598055
2025-03-27,none,0,372,0.0030207079980755225
2025-03-28,none,0,338,0.0027964170003542677
2025-03-29,none,0,329,0.002724750003835652
2025-03-30,none,0,364,0.0031316669992520474
2025-03-31,none,0,364,0.002884333996917121
2025-04-01,none,0,376,0.0032555420038988814
2025-04-02,none,0,374,0.0032835000019986182
2025-04-03,none,0,370,0.003036041001905687
2025-04-04,none,0,326,0.0028022920014336705
2025-04-05,none,0,319,0.003071708997595124
2025-04-06,none,0,369,0.0030062919977353886
2025-04-07,none,0,357,0.0028073330031475052
2025-04-08,none,0,375,0.002903166001487989
2025-04-09,none,0,371,0.0028696250010398217
2025-04-10,none,0,368,0.0030398340022657067
2025-04-11,none,0,311,0.0027451670030131936
2025-04-12,none,0,341,0.002762500000244472
2025-04-13,none,0,359,0.0028200830056448467
2025-04-14,none,0,373,0.0031392909950227477
2025-04-15,none,0,357,0.002880209001887124
2025-04-16,none,0,365,0.0032912079986999743
2025-04-17,none,0,361,0.0028634160044020973
2025-04-18,none,0,316,0.0026834169984795153
2025-04-19,none,0,322,0.00271408399567008
2025-04-20,none,0,355,0.003196917001332622
2025-04-21,none,0,369,0.003349625003465917
2025-04-22,none,0,347,0.0028508329996839166
2025-04-23,none,0,347,0.0029955420031910762
2025-04-24,none,0,349,0.0029090840034768917
2025-04-25,none,0,315,0.0027067080009146594
2025-04-26,none,0,312,0.0029559999966295436
2025-04-27,none,0,354,0.0029142499988665804
2025-04-28,none,0,369,0.0029532499975175597
2025-04-29,none,0,360,0.002935541000624653
2025-04-30,none,0,351,0.0027817919981316663
2025-05-01,none,0,351,0.002922292005678173
2025-05-02,none,0,333,0.0026989999969373457
2025-05-03,none,0,329,0.002656707998539787
2025-05-04,none,0,365,0.0027905000024475157
2025-05-05,none,0,361,0.0029227089980849996
2025-05-06,none,0,350,0.0032048749999376014
2025-05-07,none,0,352,0.0027906670002266765
2025-05-08,none,0,373,0.0030520000000251457
2025-05-09,none,0,334,0.0028462920017773286
2025-05-10,none,0,333,0.0027596669970080256
2025-05-11,none,0,367,0.0032839999985299073
2025-05-12,none,0,356,0.0029945409987703897
2025-05-13,none,0,362,0.002813374994730111
2025-05-14,none,0,364,0.0029371249984251335
2025-05-15,none,0,362,0.0028909579996252432
2025-05-16,none,0,319,0.0032467919954797253
2025-05-17,none,0,333,0.002856457998859696
2025-05-18,none,0,373,0.0029091670003253967
2025-05-19,none,0,357,0.0029924159971415065
2025-05-20,none,0,357,0.00323874999594409
2025-05-21,none,0,353,0.003191417003108654
2025-05-22,none,0,346,0.0028612079986487515
2025-05-23,none,0,324,0.0027169169989065267
2025-05-24,none,0,316,0.002710000000661239
2025-05-25,none,0,346,0.0030207090021576732
2025-05-26,none,0,350,0.0031573329979437403
2025-05-27,none,0,345,0.002895207995607052
2025-05-28,none,0,345,0.0028629579974221997
2025-05-29,none,0,349,0.0028568339985213242
2025-05-30,none,0,337,0.002863207999325823
2025-05-31,none,0,341,0.003168125003867317
2025-06-01,none,0,368,0.0030954159956309013
2025-06-02,none,0,369,0.0030364580015884712
2025-06-03,none,0,356,0.003054125001654029
2025-06-04,none,0,365,0.0030857090023346245
2025-06-05,none,0,366,0.0033688330004224554
2025-06-06,none,0,374,0.003127333002339583
2025-06-07,none,0,378,0.0030321670055855066
2025-06-08,none,0,351,0.0029540830000769347
2025-06-09,none,0,349,0.003196124998794403
2025-06-10,none,0,361,0.0030764999974053353
2025-06-11,none,0,355,0.0029397500038612634
2025-06-12,none,0,356,0.0029999580001458526
2025-06-13,none,0,370,0.003256333999161143
2025-06-14,none,0,372,0.0032553750061197206
2025-06-15,none,0,343,0.0031092089993762784
2025-06-16,none,0,360,0.0029659579959115945
2025-06-17,none,0,356,0.003037541995581705
2025-06-18,none,0,349,0.0030563750042347237
2025-06-19,none,0,353,0.0032916249983827583
2025-06-20,none,0,377,0.0032449579957756214
2025-06-21,none,0,360,0.0029396670070127584
2025-06-22,none,0,352,0.003020999996806495
2025-06-23,none,0,346,0.002950750000309199
2025-06-24,none,0,350,0.00323970899626147
2025-06-25,none,0,354,0.0032078750009532087
2025-06-26,none,0,340,0.002867084003810305
2025-06-27,none,0,370,0.0031503749996772967
2025-06-28,none,0,369,0.00305408300482668
2025-06-29,none,0,347,0.003311874999781139
2025-06-30,none,0,352,0.003387583994481247
2025-07-01,none,0,345,0.002954999996291008
2025-07-02,none,0,342,0.002857957995729521
2025-07-03,none,0,350,0.0029364580041146837
2025-07-04,none,0,350,0.002951750000647735
2025-07-05,none,0,341,0.0027677500038407743
2025-07-06,none,0,343,0.002835708000930026
2025-07-07,none,0,338,0.002855500002624467
2025-07-08,none,0,343,0.0028085829981137067
2025-07-09,none,0,346,0.0035956249994342215
2025-07-10,none,0,335,0.002954875002615154
2025-07-11,none,0,357,0.002901874999224674
2025-07-12,none,0,328,0.0028049999964423478
2025-07-13,none,0,337,0.0028449579986045137
2025-07-14,none,0,331,0.00303912500385195
2025-07-15,none,0,322,0.0028535000019473955
2025-07-16,none,0,323,0.0027179579992662184
2025-07-17,none,0,338,0.002756083005806431
2025-07-18,none,0,346,0.002869124997232575
2025-07-19,none,0,347,0.0031168339992291294
2025-07-20,none,0,333,0.003064582997467369
2025-07-21,none,0,326,0.002869916999770794
2025-07-22,none,0,300,0.002783917007036507
2025-07-23,none,0,309,0.00292970900045475
2025-07-24,none,0,312,0.0030947499981266446
2025-07-25,none,0,321,0.0028795830003218725
2025-07-26,none,0,342,0.0028309160043136217
2025-07-27,none,0,321,0.0028180000008433126
2025-07-28,none,0,316,0.002993875001266133
2025-07-29,none,0,290,0.003326332996948622
2025-07-30,none,0,302,0.0028500409971456975
2025-07-31,none,0,307,0.0027088330025435425
2025-08-01,none,0,324,0.0026738750020740554
2025-08-02,none,0,344,0.0028298329998506233
2025-08-03,none,0,319,0.0029856250039301813
2025-08-04,none,0,321,0.002921708997746464
2025-08-05,none,0,326,0.0026999589972547255
2025-08-06,none,0,320,0.0029451250011334196
2025-08-07,none,0,330,0.0029436250042635947
2025-08-08,none,0,329,0.0032645840037730522
2025-08-09,none,0,330,0.0028779579952242784
