date,daily_saving
2025-02-01,110.06004655400466
2025-02-02,-2968.744000877836
2025-02-03,-4014.579631861605
2025-02-04,-4355.628500940751
2025-02-05,682.5514849196261
2025-02-06,-3642.6311213203808
2025-02-07,-3.6722938878665445
2025-02-08,-811.1517010830285
2025-02-09,-1075.7129844216543
2025-02-10,-9930.623501104485
2025-02-11,-4960.003419192173
2025-02-12,-6461.3390145063895
2025-02-13,-2733.5359820588346
2025-02-14,-119.8514717178914
2025-02-15,-816.9775233897599
2025-02-16,-9563.887333955237
2025-02-17,-1407.18710379376
2025-02-18,-827.5667244994984
2025-02-19,-3361.6527764552666
2025-02-20,-3299.2122823171812
2025-02-21,-884.7760858123038
2025-02-22,-418.2285513759016
2025-02-23,1664.6958158696943
2025-02-24,-5067.312931501183
2025-02-25,-3071.2575916201895
2025-02-26,3659.682788205013
2025-02-27,-853.5419509811545
2025-02-28,-266.2546090434553
2025-03-01,-1273.938418161364
2025-03-02,-7704.348205158647
2025-03-03,-10633.202092570282
2025-03-04,-1536.1699874151018
2025-03-05,-6953.407088410051
2025-03-06,-6135.58344404972
2025-03-07,-1705.8236847395274
2025-03-08,-1972.1499354362895
2025-03-09,-11506.427538586016
2025-03-10,-2355.6241408213027
2025-03-11,15815.61627145535
2025-03-12,-17484.960966250743
2025-03-13,-1269.3445218907946
2025-03-14,-271.18761789658674
2025-03-15,-1639.4092324201338
2025-03-16,2424.401892384747
2025-03-17,-9636.255581978963
2025-03-18,-4899.148880316476
2025-03-19,10562.365566940636
2025-03-20,-5394.2439628387365
2025-03-21,-793.1738316958945
2025-03-22,-4067.2349618882217
2025-03-23,-3101.3603359018016
2025-03-24,-2251.806471635602
2025-03-25,-11971.191428569939
2025-03-26,4959.549575296471
2025-03-27,-2107.7646624184126
2025-03-28,-957.5462064265666
2025-03-29,-1580.6114067159833
2025-03-30,-2545.3357630699684
2025-03-31,13733.173134202763
2025-04-01,2759.2226406708505
2025-04-02,6001.573639796385
2025-04-03,-3956.4908762692285
2025-04-04,-1142.7747978578518
2025-04-05,1790.373772586172
2025-04-06,-5140.513880053608
2025-04-07,10592.346288706096
2025-04-08,-3976.958839675928
2025-04-09,4953.1739489381725
2025-04-10,-615.8507076891838
2025-04-11,-448.6590035660556
2025-04-12,-1161.6376580367505
2025-04-13,-2550.56089370024
2025-04-14,-12135.922462782968
2025-04-15,8313.504639017418
2025-04-16,2767.8377045749075
2025-04-17,8229.374731361568
2025-04-18,1035.3849431286799
2025-04-19,-2673.7099047909287
2025-04-20,6737.4088226907625
2025-04-21,-5927.924076199801
2025-04-22,14803.444706635106
2025-04-23,14386.505871149588
2025-04-24,-1782.077074056353
2025-04-25,-585.3927136779712
2025-04-26,-2336.673630164383
2025-04-27,1229.991409078175
2025-04-28,3268.438955031612
2025-04-29,4196.319759218808
2025-04-30,4228.864541990406
2025-05-01,1857.594913492081
2025-05-02,-2316.946140514676
2025-05-03,-4187.957580291681
2025-05-04,-3595.468179563577
2025-05-05,-4166.615446622978
2025-05-06,9473.161739791125
2025-05-07,12743.946052377265
2025-05-08,-3585.4679279880293
2025-05-09,-932.4540209080624
2025-05-10,-1813.4836614093329
2025-05-11,1164.753632613305
2025-05-12,8832.809231864412
2025-05-13,-20.450512509014516
2025-05-14,562.5811825021083
2025-05-15,978.668479903914
2025-05-16,-667.3636529854994
2025-05-17,-1795.4719542605817
2025-05-18,-930.3172232850629
2025-05-19,708.6448825386906
2025-05-20,6571.363995385924
2025-05-21,6874.706635063834
2025-05-22,2050.8619829688614
2025-05-23,-802.0622481315295
2025-05-24,-1102.8825894409747
2025-05-25,-1038.1897476225495
2025-05-26,6122.671900047826
2025-05-27,175.88785338083835
2025-05-28,202.72046553389373
2025-05-29,1066.258513189794
2025-05-30,-27.952520620499854
2025-05-31,-1215.4073394492334
2025-06-01,3141.535144362133
2025-06-02,5257.545320517696
2025-06-03,3564.1562806803267
2025-06-04,-3504.596188266776
2025-06-05,3895.6021724176026
2025-06-06,-365.7335712952299
2025-06-07,-1450.5614926674461
2025-06-08,-637.4698315905407
2025-06-09,-993.6245262762095
2025-06-10,-2080.8529755562195
2025-06-11,-2539.247570246167
2025-06-12,-3834.0738208452094
2025-06-13,-670.4958717179034
2025-06-14,-1614.230112131001
2025-06-15,-4169.302716405073
2025-06-16,-5573.216448641178
2025-06-17,-6836.561653387536
2025-06-18,-6475.54308095025
2025-06-19,-3467.3662181746913
2025-06-20,-682.1147632605425
2025-06-21,-1732.2537545424238
2025-06-22,-6972.5061913471145
2025-06-23,-2580.281473228286
2025-06-24,-2329.749702774061
2025-06-25,-3345.3532965897975
2025-06-26,-4025.6115938672374
2025-06-27,-1644.2432817441586
2025-06-28,-2245.6274815414654
2025-06-29,-5585.542053970421
2025-06-30,-1812.3712038570957
2025-07-01,1031.2987284646078
2025-07-02,-1382.526688787926
2025-07-03,-5574.0223106263
2025-07-04,-8352.828090517305
2025-07-05,-3836.1434351053394
2025-07-06,7248.643095091276
2025-07-07,-1241.7750341978244
2025-07-08,519.1225396082591
2025-07-09,-2416.9797128049395
2025-07-10,-2973.1837513166756
2025-07-11,-474.1632295623858
2025-07-12,-3155.6057071261166
2025-07-13,-996.1849623660164
2025-07-14,602.9184582033267
2025-07-15,-3736.9344593686546
2025-07-16,2456.2067242091
2025-07-17,4798.0015351125185
2025-07-18,-453.2905299615886
2025-07-19,-3501.2294544132383
2025-07-20,-841.3510089611009
2025-07-21,-4575.698965813273
2025-07-22,-5166.2026051074645
2025-07-23,-6697.020561176847
2025-07-24,-2706.911930571325
2025-07-25,-414.83971916454175
2025-07-26,-1659.1715521524166
2025-07-27,1829.4110289851233
2025-07-28,1666.3165541629278
2025-07-29,5152.401498919295
2025-07-30,11705.544542699237
2025-07-31,3431.8877312440964
2025-08-01,-1477.9111475427708
2025-08-02,-1728.5732459384453
2025-08-03,-2081.2577029485838
2025-08-04,2521.3425514002083
2025-08-05,3310.840464970286
2025-08-06,2314.72610985559
2025-08-07,-2521.6845409622692
2025-08-08,-850.6821673934683
2025-08-09,-2401.235111514692
2025-08-10,86.1732247307591
2025-08-11,-242.79946186736197
2025-08-12,-2431.3299286655456
2025-08-13,5007.0690459625475
2025-08-14,1333.382773760648
2025-08-15,-1050.8015276969381
2025-08-16,-1980.1092811325725
2025-08-17,-2978.516197316756
2025-08-18,-1181.7160940678732
2025-08-19,-2432.1620548722276
2025-08-20,-2733.3211759468613
2025-08-21,-5551.96779757621
2025-08-22,-2020.409964675433
2025-08-23,-3354.3028617483687
2025-08-24,-8943.444449979303
2025-08-25,-2002.303305359259
2025-08-26,1928.6706024158048
2025-08-27,6888.957515738824
2025-08-28,6789.342100049049
2025-08-29,-1189.0610870959208
2025-08-30,-1686.4745888096222
2025-08-31,4066.763625907377
2025-09-01,-4799.830023680275
2025-09-02,-4797.053240319146
2025-09-03,-2801.4997857626586
2025-09-04,-4085.101979785599
2025-09-05,-1241.7874403002425
2025-09-06,-1848.2777169154615
2025-09-07,-1743.9351302118812
2025-09-08,-1339.2758535024186
2025-09-09,-1457.7652891204125
2025-09-10,-8128.909249997545
2025-09-11,-1544.6211759642101
2025-09-12,-1274.1450831792208
2025-09-13,-1866.6151339076641
2025-09-14,-4174.026687910104
2025-09-15,-156.72299369662505
2025-09-16,-1334.6575713328202
2025-09-17,-934.6849347011303
2025-09-18,1094.7950289124055
2025-09-19,-779.8759508203948
2025-09-20,-1789.2212201418079
2025-09-21,-2265.933094208107
2025-09-22,-431.66053779005597
2025-09-23,-783.0176274639234
2025-09-24,8920.893208113273
2025-09-25,-373.1656625116011
2025-09-26,-869.2094972764171
2025-09-27,527.7914938039394
2025-09-28,-4237.867305641783
2025-09-29,-3129.5665324594593
2025-09-30,7218.546455439529
2025-10-01,-744.8964652344876
2025-10-02,-62.29034358244098
2025-10-03,-816.5693219391942
2025-10-04,-724.6976983931927
2025-10-05,-1721.9714453217239
2025-10-06,6530.126396809901
2025-10-07,-530.8914643937969
2025-10-08,419.72393874534464
2025-10-09,-621.9304912280859
2025-10-10,-170.35315868008183
2025-10-11,-372.77294852635896
2025-10-12,211.12933112513565
2025-10-13,-3590.521276874555
2025-10-14,-6446.653452627688
2025-10-15,-2558.858772310363
2025-10-16,-553.558407683442
2025-10-17,1336.3007565414446
2025-10-18,-482.110537784356
2025-10-19,25.853286104458675
2025-10-20,-121.34039046725229
2025-10-21,853.1084944250324
2025-10-22,-609.7766020074196
2025-10-23,-791.6791347560429
2025-10-24,-333.59227887335146
2025-10-25,-594.483704049966
2025-10-26,-560.3683146575131
2025-10-27,-3288.874436781938
2025-10-28,3389.0645290753673
2025-10-29,-85.0113427115939
2025-10-30,642.4819326415382
2025-10-31,-268.11785612724634
2025-11-01,-498.2852431777319
2025-11-02,-2482.06368514536
2025-11-03,29.31426177558751
2025-11-04,-2082.854122575045
2025-11-05,-149.5435607026302
2025-11-06,-2321.945491169412
2025-11-07,-96.02484470258787
2025-11-08,-279.1773428504275
2025-11-09,-45.93492556556885
2025-11-10,-2474.728000360519
2025-11-11,-233.80381539875816
2025-11-12,-4038.577052370776
2025-11-13,2169.4658671167344
2025-11-14,-23.448758016253123
2025-11-15,-439.6460164489472
2025-11-16,-3877.712513906845
2025-11-17,-6690.109256963857
2025-11-18,-1321.039474797035
2025-11-19,-7904.330393083073
2025-11-20,-2133.722628081072
2025-11-21,-274.70185667933765
2025-11-22,-332.6285263329337
2025-11-23,-4929.905688510982
2025-11-24,-2141.9217105298376
2025-11-25,-53.29771148380678
2025-11-26,-2071.3201650032133
2025-11-27,-3044.6402706466615
2025-11-28,-4.7372672606907145
2025-11-29,-774.5510191613212
2025-11-30,-3758.0312045445826
2025-12-01,-4899.233095953168
2025-12-02,-3339.987295575076
2025-12-03,-2152.917539178321
2025-12-04,-1248.4547259570973
2025-12-05,-176.9265077212185
2025-12-06,75.95573976374726
2025-12-07,-1352.7220037539955
2025-12-08,-5349.891097209824
2025-12-09,-1317.2652326175012
2025-12-10,-6357.522078016249
2025-12-11,-2200.490778136329
2025-12-12,-291.8336769078451
2025-12-13,-2063.1665439837307
2025-12-14,-4938.104819762062
2025-12-15,-6176.069726186623
2025-12-16,-1700.6255732460413
2025-12-17,-512.0080464323255
2025-12-18,-6228.841749190964
2025-12-19,-102.66445705658407
2025-12-20,306.0194080762958
2025-12-21,-1077.949714771472
2025-12-22,-1913.0610610863805
2025-12-23,-314.87267166578386
2025-12-24,-357.2713267979416
2025-12-25,-951.7711913858366
2025-12-26,-18.599701618899417
2025-12-27,626.4291258412923
2025-12-28,-152.59300990936754
2025-12-29,-3083.085373248585
2025-12-30,-1720.888914332405
2025-12-31,-154.50336066026648
