date,combo,total_cost,plan_cost,up_cost,down_cost,emergency_cost,emergency_kwh,waste_kwh,start_soc,end_soc
2025-02-01,none,34500.69335745857,34500.69335745857,0.0,0.0,0.0,0.0,22485.906000166666,6000.000000000002,6000.000000000001
2025-02-02,none,57679.213486827924,57146.319533940106,0.0,0.0,532.893952887819,94.37887961111119,8043.818627277781,6000.000000000001,6000.0
2025-02-03,none,59031.448321291704,57924.82369767334,0.0,0.0,1106.6246236183656,250.3835802222232,7577.225825222224,6000.0,5999.999999999999
2025-02-04,none,60137.66632818257,59443.33866714092,0.0,0.0,694.3276610416538,192.21206786111125,8058.688266027781,5999.999999999999,6000.000000000004
2025-02-05,none,59602.63296573051,55210.53911637048,0.0,0.0,4392.0938493600315,1303.9349733055562,3919.9941600555553,6000.000000000004,6000.000000000003
2025-02-06,none,60073.57507838578,59029.03395057961,0.0,0.0,1044.5411278061765,240.61543322222133,8659.66798663889,6000.000000000003,6000.000000000002
2025-02-07,none,33034.45745060229,33034.45745060229,0.0,0.0,0.0,0.0,22997.560894250004,6000.000000000002,6000.0
2025-02-08,none,27983.603098192907,27983.603098192907,0.0,0.0,0.0,0.0,15278.043585499996,6000.0,6000.000000000001
2025-02-09,none,58321.26002987879,55329.61845653265,0.0,0.0,2991.6415733461376,683.0406521944442,4863.475041444446,6000.000000000001,6000.000000000002
2025-02-10,none,53580.98188848538,52149.01404358106,0.0,0.0,1431.9678449043208,284.79484216666697,5338.859820666669,6000.000000000002,6000.000000000001
2025-02-11,none,56827.30105630534,52936.63560763686,0.0,0.0,3890.6654486684815,1020.1453148888904,5850.029451055556,6000.000000000001,6000.0
2025-02-12,none,54373.57432961519,52574.22150227157,0.0,0.0,1799.3528273436236,382.25515541666664,4960.814482083332,6000.0,6000.000000000003
2025-02-13,none,52497.084210494715,48366.66928921356,0.0,0.0,4130.414921281152,979.5933510833329,4144.579755583334,6000.000000000003,6000.0
2025-02-14,none,27686.953356995742,27686.953356995742,0.0,0.0,0.0,0.0,16959.237363166663,6000.0,6000.0
2025-02-15,none,28144.109198268503,28144.109198268503,0.0,0.0,0.0,0.0,18293.676575249996,6000.0,6000.000000000001
2025-02-16,none,55476.312128409125,51920.948902472504,0.0,0.0,3555.363225936622,812.3516147499996,4711.302232916668,6000.000000000001,6000.000000000002
2025-02-17,none,55116.39728698345,51240.351914342,0.0,0.0,3876.0453726414485,893.3647045000013,8811.3203345,6000.000000000002,6000.000000000001
2025-02-18,none,61232.04743023125,45187.18150765235,0.0,0.0,16044.865922578898,4208.002071666662,1705.255961249999,6000.000000000001,6000.000000000002
2025-02-19,none,60668.25456470637,45369.44350426971,0.0,0.0,15298.811060436663,3932.437585999999,809.7274671666672,6000.000000000002,6000.000000000001
2025-02-20,none,55113.35049383118,46928.34106375737,0.0,0.0,8185.0094300738165,1871.2869184166661,3772.4002184166675,6000.000000000001,6000.0000000000055
2025-02-21,none,24483.02417345631,24409.78354049381,0.0,0.0,73.24063296250024,22.07214477777785,15335.93920211111,6000.0000000000055,6000.0
2025-02-22,none,25133.117482206195,25071.706817372862,0.0,0.0,61.41066483333342,28.723416666666708,14094.165220916666,6000.0,5999.999999999998
2025-02-23,none,58932.57712296836,45405.08822347299,0.0,0.0,13527.488899495369,3133.677974694444,2153.5319836944454,5999.999999999998,6000.000000000002
2025-02-24,none,56163.866182557045,43938.32418724743,0.0,0.0,12225.541995309617,3490.6547634999984,2400.440156666667,6000.000000000002,6000.0
2025-02-25,none,51517.334162970365,44692.92252951264,0.0,0.0,6824.411633457729,1715.0309330277764,5195.0719686111115,6000.0,6000.0
2025-02-26,none,69183.6388595026,40003.944450885974,0.0,0.0,29179.694408616615,7338.461875666664,741.8351320833335,6000.0,6000.000000000003
2025-02-27,none,61682.141800378085,41232.11010812395,0.0,0.0,20450.031692254142,4636.697650999999,1396.1875158333344,6000.000000000003,6000.000000000002
